id,company,Domain Name,Overview,Description,Links to Key People Profiles,,,email,Company Phone Numbers,Website,LinkedIn
1,Miko,miko.ai,Provider of an AI-powered companion robot for children,"Miko is an AI-powered companion robot for children that can talk, respond, educate, provide entertainment, and understand the child’s needs, emotions, likes, and dislikes. Miko works in integration with a companion application that allows parents to control and manage the settings. The companion application is compatible with both Android and iOS devices.","https://linkedin.com/in/chintan-raikar-0927431b,
 https://linkedin.com/in/prashant-iyengar-1598b48,
 https://linkedin.com/in/sneh-vaswani-29b03318",,,support@miko.ai,-8655033154,https://miko.ai,https://linkedin.com/company/mikorobot/about
2,Avishkaar,avishkaar.cc,"Provider of robotics kits, accessories and online courses for kids","Provider of robotics kits, accessories and online courses for kids. It offers a platform to teach and learn 21st-century skills like coding, robotics, and innovation through engaging kits, accessories, and online courses.","https://linkedin.com/in/tarunbhalla,
 https://linkedin.com/in/rajeevgaba,
 https://linkedin.com/in/poojasgoyal",,,support@avishkaar.cc,-8506931424,https://home.avishkaar.cc/,https://linkedin.com/company/avishkaardotcc/about
3,WitBlox,witblox.com,Internet first brand offering DIY kits to learn robotics and engineering for kids,"Internet first brand offering DIY kits to learn robotics and engineering for kids. The kit includes electronic building blocks, various sensors, light, sound, motors, etc. The mobile application is available for android users to watch video tutorials.","http://linkedin.com/in/tsfounder,
 http://linkedin.com/in/abhishek-singh-5049a022",,,,,https://witblox.com,http://linkedin.com/company/witblox
4,Playto Labs,playtolabs.com,Provider of DIY kits for students to learn robotics,"Provider of DIY kits for students to learn robotics. The platform provides learning experiences in different subjects such as science, technology, coding, and more.",http://linkedin.com/in/ppavan,,,info@playtolabs.com,-18001237176,https://www.playtolabs.com/,https://linkedin.com/company/playtolabs
5,Sirena Technologies,sirenatech.com,"Provider of robots for education, entertainment, and smart homes","Provider of robots for education, entertainment, and smart homes. Products include humanoid robots, toy robots, educational robots, and wireless speakers. Its homegrown robotic Platform brings a unique value proposition for the technical colleges providing them an opportunity to experiment with it. Plans to introduce humanoid robots as teaching assistants in the education space in India.",https://linkedin.com/in/hariharanbojan,,,"reachus@sirenatech.com,
 contactus@sirenatech.com",-8041308794,https://sirenatech.com,http://linkedin.com/company/sirena-technologies-private-limited
6,SP Robotic Works,sproboticworks.com,Provider of an online platform offering DIY kits for learning robotics,"Provider of an online platform offering DIY kits for learning robotics. The learning kits offered include an electro-blocks kit, ranger kit, coding kit, and others. It offers courses on various topics including robotics, IoT, virtual reality, and drone. It covers engineering domains like programming, mechanical design, electrical & electronics, and algorithms related to robotics. It is available for Android and iOS platforms.","https://linkedin.com/in/pranavan-io,
 https://linkedin.com/in/sneha-priya-reddy",,,info@sproboticworks.com,-180030000532,https://sproboticworks.com,http://linkedin.com/company/sp-robotic-works-pvt-ltd-
7,Blix,blix.in,Provider of DIY kits for students to learn robotics,,https://linkedin.com/in/abbas-gabajiwala-7b007088,,,,,https://blix.in,
8,STEM Robo,stemrobo.com,Developer of STEM and robotics DIY kits,STEM Robo develops and sells DIY kits related to robotics. Services include designing and making electronic devices and software related to STEM robotics and STEM IoT for K-12 segment. Partners with schools to conduct extra-curricular workshops through Stemrobo lab program. Listed as ATL equipment vendor under Atal Tinkering Lab scheme by Govt. of India.,"https://linkedin.com/in/anurag-gupta-112b907,
 https://linkedin.com/in/rajeev-tiwari-8627a58",,,sales@stemrobo.com,-9953109511,https://www.stemrobo.com/,http://linkedin.com/company/stemrobo
9,Makebot,makebot.in,Online STEAM learning resource provider,"Online STEAM learning resource provider. Offerings include robotic kits, IoT applications, curriculum, STEAM-based worksheets, trainer's manual, and others. It enables students to learn robotics, AI, and IoT. It also caters to schools and after-school learning providers. Caters to the educational industry.",https://linkedin.com/in/amitverma18,,,info@makebot.in,-8879420919,https://makebot.in,https://linkedin.com/company/makebot
10,QtPi Robotics,qtpi.in,DIY kit to learn robotics,"Qtpi provides a DIY kit to learn robotics. The plug and play robot runs on Arduino chipset and can be used to learn to build various robots such as bubble blower, army tank, Wall-E etc. Students learn the basics of physics, electronics, robotics and more through playing with the building blocks.","http://linkedin.com/in/jaisonleon,
 http://linkedin.com/in/raghunath-are-38375714,
 http://linkedin.com/in/anto-jerlin-12065826,
 https://linkedin.com/in/avinya-jaison-a92674170",,,info@qtpi.in,-7022645270,https://qtpi.in,https://linkedin.com/company/qtpi/about
